shrab شراب
kitab كتاب
maktab مكتب
baita بيت
sabah صباح
layl ليل
hawa هواء
jameel جميل
alim عالم
mudir مدير
muhandis مهندس
qamar قمر
shams شمس
makhzan مخزن
qala قال
yajlisu يجلس
ya'kalu يأكل
kalam قلم
shajara شجرة
madrasa مدرسة
madina مدينة
fahim فاهم
qahwa قهوة
sabir صابر
jame'a جامع
mujtama' مجتمع
ta'lim تعليم
sadiq صديق
hadiqah حديقة
muslim مسلم
shamil شامل
mu'allim معلم
khalid خالد
yuhibu يحب
nasr نصر
salam سلام
tariq طريق
imra'ah امرأة
rajul رجل
zahr زهرة
ghazal غزال
sadaqah صدقة
farasha فراشة
tifl طفل
jamal جمال
hayawan حيوان
shuqran شكراً
sahra صحراء
sayaara سيارة
lissan لسان
ahlan أهلاً
biqan بقعة
barid بارد
sa'id سعيد
bida'a بدعة
fa'il فاعل
ma'a مع
za'lan زعلان
sa'at ساعة
sabah al-khayr صباح الخير
masaa al-khayr مساء الخير
shukran جزيلاً شكراً جزيلاً
ra'a رأى
sa'rif صرف
faqar فقر
ma'ruf معروف
tazkarah تذكرة
hayat حياة
tayyib طيب
sahih صحيح
mushkila مشكلة
raj'a رجع
qalam قلم
khabar خبر
jilsa جلسة
sharq شرق
gharb غرب
janub جنوب
shamal شمال
sabah al-noor صباح النور
tarikh تاريخ
sa'ar سعر
madrasah مدرسة
juththah جثة
qat' قط
riyadh رياض
bahr بحر
jazeera جزيرة
rimal رمال
nadha ندى
watan وطن
ahwal أحوال
islam إسلام
qissah قصة
su'al سؤال
jawab جواب
tariqah طريقة
diwan ديوان
makana مكانة
tawil طويل
qasir قصير
ahmar أحمر
azraq أزرق
akhdar أخضر
abyad أبيض
aswad أسود
kabeer كبير
saghir صغير
ghali غالي
rakhis رخيص
a'ala أعلى
adna أدنى
qawi قوي
da'if ضعيف
shay' شيء
al-'ilm العلم
al-jama'a الجماعة
al-taleem التعليم
al-ma'rifah المعرفة
khayr خير
shar شر
fayda فائدة
ta'awun تعاون
baraka بركة
barid بارد
jameel جميل
faqih فقيه
khayma خيمة
manzila منزل
bab باب
nujum نجوم
fan فن
suq سوق
jum'a جمعة
muharram محرم
khamr خمّر
aqd عقد
muhafazah محافظة
jumla جملة
ta'addud تعدد
nizam نظام
yawm يوم
layl ليلة
sabaha صباحة
nahar نهار
qarib قريب
ba'id بعيد
al-madrasa المدرسة
shajarah شجرة
bustan بستان
fahm فهم
ta'awun تعاون
hamd الحمد
ta'lim تعليم
tafseer تفسير
i'tibar اعتبار
ni'ma نعمة
sa'ada سعادة
su'ood صعود
ru'ya رؤية
i'lan إعلان
maqbool مقبول
mabrook مبروك
mushkila مشكلة
sabr صبر
shuhada شهداء
ahl أهل
istiqama استقامة
khayr خير
safa صفاء
rahma رحمة
barzakh برزخ
jannah جنة
jahannam جهنم
zakat زكاة
sadaqah صدقة
ramadan رمضان
tahajjud تهجد
tasbeeh تسبيح
jihad جهاد
salam سلام
na'im نعيم
fajr فجر
shafa'ah شفاعة
mawlid مولد
ikhlas إخلاص
tauba توبة
mahr مهر
tafsir تفسير
fiqh فقه
hijab حجاب
muhammad محمد
yawm al-qiyama يوم القيامة

